artist,image_url
Billie Eilish,https://lastfm.freetls.fastly.net/i/u/avatar170s/3b6c10224c607474540c23417b2c5c8e
Bon Iver,https://lastfm.freetls.fastly.net/i/u/avatar170s/2af969a7dba245d5f0d262db20104a72
Ariana Grande,https://lastfm.freetls.fastly.net/i/u/avatar170s/c7249f7935c31feadb86b1c208a28ed9
H.E.R.,https://lastfm.freetls.fastly.net/i/u/avatar170s/447336fb9dea847b8fe23304049094e3
Khalid,https://lastfm.freetls.fastly.net/i/u/avatar170s/555e91bf1a22318d779d5eda8a8dd158
Lil Nas X Featuring Billy Ray Cyrus,https://lastfm.freetls.fastly.net/i/u/avatar170s/a486be025d0c570bae58769804e8088a
Lizzo,https://lastfm.freetls.fastly.net/i/u/avatar170s/b6735b6098182444af1ab90ec52b7f4f
Post Malone & Swae Lee,https://lastfm.freetls.fastly.net/i/u/avatar170s/71be100ef9aeb53a12ab2ffbb1f61b5f
Lana Del Rey,https://lastfm.freetls.fastly.net/i/u/avatar170s/3ae0b66b06f31740b4f061bed5ee0443
Lil Nas X,https://lastfm.freetls.fastly.net/i/u/avatar170s/d65142c3741348bfa9b15031d3aacaba
Vampire Weekend,https://lastfm.freetls.fastly.net/i/u/avatar170s/748dfc512927d6f9afb251c18211d252
Lady Gaga,https://lastfm.freetls.fastly.net/i/u/avatar170s/49da29b0277743bcbae8f598ca1e4ff6
Tanya Tucker,https://lastfm.freetls.fastly.net/i/u/avatar170s/4faf8d7d90314f11cf1201bb24c04850
Taylor Swift,https://lastfm.freetls.fastly.net/i/u/avatar170s/2bd3797623623a86ec260b4b7e3a55da
Lewis Capaldi,https://lastfm.freetls.fastly.net/i/u/avatar170s/ed7e44575b39023ecb7ed639e98a4c57
Beyoncé,https://lastfm.freetls.fastly.net/i/u/avatar170s/af3d4a70f2f08d4184148c9792c2d180
Ariana Grande & Social House,https://lastfm.freetls.fastly.net/i/u/avatar170s/1b50ec48e9d7077e6e69f68e52b8da8e
Jonas Brothers,https://lastfm.freetls.fastly.net/i/u/avatar170s/062b80d18b7d87c6dda94f98ddf52d82
Shawn Mendes & Camila Cabello,https://lastfm.freetls.fastly.net/i/u/avatar170s/c100c60150f141badeade10b7765de2a
Elvis Costello & The Imposters,https://lastfm.freetls.fastly.net/i/u/avatar170s/d285a5e3ae734548ad222c837a3bb3e2
Andrea Bocelli,https://lastfm.freetls.fastly.net/i/u/avatar170s/af68fcfc6a6a8d7ec7d9949f39400b61
Michael Bublé,https://lastfm.freetls.fastly.net/i/u/avatar170s/830c43bd43268081cff52d01acd02e26
John Legend,https://lastfm.freetls.fastly.net/i/u/avatar170s/9bc1a07e077c5b60c9f85663b7a2ce17
Barbra Streisand,https://lastfm.freetls.fastly.net/i/u/avatar170s/fd1dd30a0f06fa68a40393d1df275411
Ed Sheeran,https://lastfm.freetls.fastly.net/i/u/avatar170s/73715c062bd38bebc6ca7b0d8f8aef20
The Chemical Brothers,https://lastfm.freetls.fastly.net/i/u/avatar170s/d134c0c787f2e88cfc5e1fa19257294b
Bonobo,https://lastfm.freetls.fastly.net/i/u/avatar170s/78bd68803d4acaf5f749c70992b08fec
Meduza Featuring Goodboys,
RÜFÜS DU SOL,https://lastfm.freetls.fastly.net/i/u/avatar170s/a464c793f4585469d2911fbc2ad8ed01
"Skrillex, Boys Noize & Ty Dolla $ign",https://lastfm.freetls.fastly.net/i/u/avatar170s/30c0c084cd795c0ca3a32ffe90b21db1
Apparat,https://lastfm.freetls.fastly.net/i/u/avatar170s/9945f056bea1c7a91666e359fd37886d
Flume,https://lastfm.freetls.fastly.net/i/u/avatar170s/1abae7c30f091bd696235e905f250531
Tycho Featuring Saint Sinner,
Rodrigo y Gabriela,https://lastfm.freetls.fastly.net/i/u/avatar170s/5c503739240444b5b77672679f8df71e
Christian Scott aTunde Adjuah,https://lastfm.freetls.fastly.net/i/u/avatar170s/2494c00cbb66b088a8e962e784f85e06
Theo Croker,https://lastfm.freetls.fastly.net/i/u/avatar170s/89dd16b89ec765f1fdda7ee3f5996c4a
Mark Guiliana,https://lastfm.freetls.fastly.net/i/u/avatar170s/7530e6d50fcfef970a78cb2714d5d1b1
Lettuce,https://lastfm.freetls.fastly.net/i/u/avatar170s/89114dfde09549ba9d6447ba70197a6e
Gary Clark Jr.,https://lastfm.freetls.fastly.net/i/u/avatar170s/9dff79bdb598c2263cb283c347f224eb
Bones UK,https://lastfm.freetls.fastly.net/i/u/avatar170s/ff7c1ed7e2c5752cca789c923e6c3557
Brittany Howard,https://lastfm.freetls.fastly.net/i/u/avatar170s/ff6a16641ad21e5e3727a6ca48630427
Karen O & Danger Mouse,https://lastfm.freetls.fastly.net/i/u/avatar170s/d7f8f7a5f2602b58372d3093d26a9549
Rival Sons,https://lastfm.freetls.fastly.net/i/u/avatar170s/8c48ede25005549af3c3767ea8a36aca
Tool,https://lastfm.freetls.fastly.net/i/u/avatar170s/2ef02d174d4c85c0f13c84c76d6e8b97
Candlemass Featuring Tony Iommi,
Death Angel,https://lastfm.freetls.fastly.net/i/u/avatar170s/e98dee174efa675bc70c8612127e0b69
I Prevail,https://lastfm.freetls.fastly.net/i/u/avatar170s/814f1c7da8a4c98062eefb92a7edcaa3
Killswitch Engage,https://lastfm.freetls.fastly.net/i/u/avatar170s/ba2cd2477a9440b2a69a8b2ebf4bfd16
Cage The Elephant,https://lastfm.freetls.fastly.net/i/u/avatar170s/9cc27063e5d1002e35a45ea0fec55eef
Bring Me The Horizon,https://lastfm.freetls.fastly.net/i/u/avatar170s/d14188ce55f74dc58dc6e3519e65356b
The Cranberries,https://lastfm.freetls.fastly.net/i/u/avatar170s/90a99cef82736492db2d32ab91f0f8e0
Big Thief,https://lastfm.freetls.fastly.net/i/u/avatar170s/4eb510969a269aaaf8097fa78bd0e7d8
James Blake,https://lastfm.freetls.fastly.net/i/u/avatar170s/8de0ec61ca2b2304987a2adb92f1c6cf
Thom Yorke,https://lastfm.freetls.fastly.net/i/u/avatar170s/1956e04f0737e4b4ff927c6c796a9834
Anderson .Paak Featuring André 3000,
Daniel Caesar & Brandy,https://lastfm.freetls.fastly.net/i/u/avatar170s/8325196e1ae32cfbdbadd4f9fb4b8cc3
H.E.R. Featuring Bryson Tiller,
Lizzo Featuring Gucci Mane,
Lucky Daye,https://lastfm.freetls.fastly.net/i/u/avatar170s/14f8376b6f2434c61e58dda1b32e0f7c
BJ The Chicago Kid,https://lastfm.freetls.fastly.net/i/u/avatar170s/c9b56c97a203a64d1462bcd01dbcc4eb
India.Arie,https://lastfm.freetls.fastly.net/i/u/avatar170s/30095256b38846359edf5cc5c6209fa4
PJ Morton Featuring Jazmine Sullivan,
Steve Lacy,https://lastfm.freetls.fastly.net/i/u/avatar170s/e77af711a9ccf2f030b409dd8799ab28
Georgia Anne Muldrow,https://lastfm.freetls.fastly.net/i/u/avatar170s/88610c3f5dcf4c19a924a1ad2177e85c
NAO,https://lastfm.freetls.fastly.net/i/u/avatar170s/a1e4aea3999453d271e2cf856da95c63
Jessie Reyez,https://lastfm.freetls.fastly.net/i/u/avatar170s/e52e4ca83480ff44658c9c91c7b251b5
Anderson .Paak,https://lastfm.freetls.fastly.net/i/u/avatar170s/8cdaea398ffb5cd0cf5cc89519354001
Ella Mai,https://lastfm.freetls.fastly.net/i/u/avatar170s/b16b191e0ad0ae8eeb4840a39c452c73
PJ Morton,https://lastfm.freetls.fastly.net/i/u/avatar170s/cd67d93cf17e4195cb88a038b0aa6452
Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,
J. Cole,https://lastfm.freetls.fastly.net/i/u/avatar170s/04017159548aea039e0058341ebd1aaa
DaBaby,https://lastfm.freetls.fastly.net/i/u/avatar170s/8e11272fd0053b22dc213765bd1d4198
"Dreamville Featuring J.I.D, Bas, J. Cole, EARTHGANG & Young Nudy",
Offset Featuring Cardi B,
DJ Khaled Featuring Nipsey Hussle & John Legend,
Lil Baby & Gunna,https://lastfm.freetls.fastly.net/i/u/avatar170s/1f4edf2c69a3d11e56bd606f7e35f426
Mustard Featuring Roddy Ricch,
Young Thug Featuring J. Cole & Travis Scott,
"Tyler, The Creator",https://lastfm.freetls.fastly.net/i/u/avatar170s/73175f9570d30b4a96697863d1410610
Dreamville,https://lastfm.freetls.fastly.net/i/u/avatar170s/198b8ee31b6bb0cafce62225422d45ce
Meek Mill,https://lastfm.freetls.fastly.net/i/u/avatar170s/8b1e3c36c99c846577f421b06b968416
21 Savage,https://lastfm.freetls.fastly.net/i/u/avatar170s/e02d9d59706e0e701fac43154e48451c
YBN Cordae,https://lastfm.freetls.fastly.net/i/u/avatar170s/601144d0842bd8070bd12c0bf33ccb9d
Willie Nelson,https://lastfm.freetls.fastly.net/i/u/avatar170s/164b7bbeffbc4ca698f761aa30098f13
Tyler Childers,https://lastfm.freetls.fastly.net/i/u/avatar170s/a7bb1758bc7410d8f0897d0c0048ab48
Ashley McBryde,https://lastfm.freetls.fastly.net/i/u/avatar170s/eb68dcf92531b8a7c4c0d3060af70aa5
Blake Shelton,https://lastfm.freetls.fastly.net/i/u/avatar170s/16005536a1f61acc3e92e242b8b4cf25
Dan + Shay,
Brooks & Dunn With Luke Combs,
Brothers Osborne,https://lastfm.freetls.fastly.net/i/u/avatar170s/a005c0898503bdef4f4458be8401963f
Little Big Town,https://lastfm.freetls.fastly.net/i/u/avatar170s/b95ea3ae6e5a02a29aadcc8ec809f3ed
Maren Morris Featuring Brandi Carlile,
Mike Holober & The Gotham Jazz Orchestra,https://lastfm.freetls.fastly.net/i/u/avatar170s/2772fc77315a8cfd121e444c0f4bd9a5
Eric Church,https://lastfm.freetls.fastly.net/i/u/avatar170s/54808a0162b0481d6785e1e1b0d83f2d
Reba McEntire,https://lastfm.freetls.fastly.net/i/u/avatar170s/9f94146f77ae46dfaa7d863fc0752aa3
Pistol Annies,https://lastfm.freetls.fastly.net/i/u/avatar170s/de18da0c3734fc21b46a7b0445ee763a
Thomas Rhett,https://lastfm.freetls.fastly.net/i/u/avatar170s/a2d096396ad3b16ba776da2ad7495fbe
Peter Kater,https://lastfm.freetls.fastly.net/i/u/avatar170s/991f36ddaafcd74b8125b4b766c6378a
David Arkenstone,https://lastfm.freetls.fastly.net/i/u/avatar170s/b628e39b7b214ccfccbcb1efe68d32ea
David Darling,https://lastfm.freetls.fastly.net/i/u/avatar170s/ad166d9b066842f8b9aecc0e4666f46d
Sebastian Plano,https://lastfm.freetls.fastly.net/i/u/avatar170s/7a06c3f850eafb50d8cabb12d7f0148c
Deva Premal,https://lastfm.freetls.fastly.net/i/u/avatar170s/d09f5212cd764359b71464f2964d8de1
Esperanza Spalding,https://lastfm.freetls.fastly.net/i/u/avatar170s/7fed86bfe2fa4f2689c4a2a78416653b
Sara Gazarek,https://lastfm.freetls.fastly.net/i/u/avatar170s/e8237970977c4eb4af3e5db0e51d19f8
Jazzmeia Horn,https://lastfm.freetls.fastly.net/i/u/avatar170s/78561ec9eeb3dbf5f96d2218bd3ccfb6
Catherine Russell,https://lastfm.freetls.fastly.net/i/u/avatar170s/8d89f410973d42abac7590e80a66114f
Tierney Sutton Band,https://lastfm.freetls.fastly.net/i/u/avatar170s/093aa24532ee406697ee2a9c88a03feb
Brad Mehldau,https://lastfm.freetls.fastly.net/i/u/avatar170s/5f45f05f510045f2c5333350aaeb123c
Joey DeFrancesco,https://lastfm.freetls.fastly.net/i/u/avatar170s/4fb8d7f22eb65ed590f6b78f0d428d6b
Branford Marsalis Quartet,https://lastfm.freetls.fastly.net/i/u/avatar170s/56c42ecae4b79749270eee5377eb144e
Christian McBride’s New Jawn,https://lastfm.freetls.fastly.net/i/u/avatar170s/098928333aca41d6b855810096fc7fcb
Joshua Redman Quartet,https://lastfm.freetls.fastly.net/i/u/avatar170s/7cf640810d884f819aa07dd578c19396
Brian Lynch Big Band,https://lastfm.freetls.fastly.net/i/u/avatar170s/619703acbdef8b2704b541d594475d2f
Anat Cohen Tentet,https://lastfm.freetls.fastly.net/i/u/avatar170s/ca815fe2167f93dc4d848bf2f80255d9
Miho Hazama,https://lastfm.freetls.fastly.net/i/u/avatar170s/700477102dcea1915d598e21759a4cd6
Terraza Big Band,https://lastfm.freetls.fastly.net/i/u/avatar170s/b97ff0c8a8b6bb22b4c9184dfb5586a8
Chick Corea & The Spanish Heart Band,https://lastfm.freetls.fastly.net/i/u/avatar170s/b8a63ad785f2f35a802f0092b3e7a1c4
